Simulation,MedianAges_Gyr_All,MedianAbundance_FeH_All,MedianAbundance_OFe_All,MedianAges_Gyr_H,MedianAbundance_FeH_H,MedianAbundance_OFe_H,MedianAges_Gyr_B,MedianAbundance_FeH_B,MedianAbundance_OFe_B,MedianAges_Gyr_CD,MedianAbundance_FeH_CD,MedianAbundance_OFe_CD,MedianAges_Gyr_WD,MedianAbundance_FeH_WD,MedianAbundance_OFe_WD
au2_or_l4_s127,7.061079699926301,-0.1138633390721111,0.25604769857415643,10.381794759861101,-0.717637826358517,0.28335343086508624,9.879525971945085,-0.049037978045473274,0.27164162342101084,5.330824582487809,-0.03892239466073466,0.24603222487475285,7.731535397510047,-0.17910974586401895,0.2625992164590931
au3_or_l4_s127,7.177434154034588,-0.015419106794401838,0.24380832244486927,10.208450726051447,-0.5580548397654059,0.2861602748393275,10.843454294668138,-0.12395353151033461,0.27119734011547214,5.1168867792024315,0.07781961400304116,0.22724103063140888,8.735691239671747,-0.14679549033014494,0.25588822131613553
au4_or_l4_s127,4.907712065484825,-0.11981792394838431,0.24949798651424437,5.834505032781533,-0.3072820711224491,0.2593069064445124,5.4300063136385575,0.09174062406334205,0.24500182723266195,1.2798918686792486,0.13456451528129687,0.22731462291698135,4.373743703196604,-0.08103584531077379,0.24654356243301423
au6_or_l4_s127,7.196391355502619,-0.09247565584572826,0.2517961858215185,9.538985622340764,-0.656920684569053,0.2804879934063018,10.201060929269328,-0.1731291131423367,0.2755854732470451,5.364911865159785,0.022187319413588202,0.23716510045127293,7.790491492142536,-0.15599013146873641,0.2594042768179373
au7_or_l4_s127,4.989525947667898,-0.14609494337692164,0.24566742541939457,5.902664293928114,-0.3770456996527938,0.2560671817651149,7.881215269360719,-0.019013652176806062,0.2527793965563858,2.3601212581830335,-0.0028005133623771883,0.2325145402086457,4.458646629349188,-0.08788338655783168,0.24191193628269214
au8_or_l4_s127,7.696078480906734,-0.18472249660125195,0.25779757376452217,9.659309971552375,-0.6154633537474652,0.2790590474062582,9.629077107786784,-0.1851919883417743,0.2689922441029884,6.5138120974506615,-0.1190135978059983,0.24848385472024592,7.623193437159425,-0.20492744721523515,0.25856784931506094
au9_or_l4_s127,7.533392606998417,-0.05054816772345205,0.2391915149706092,10.327413251041072,-0.5895956126253177,0.29700590748843236,8.744642411859136,0.1352504420952263,0.24511219325487654,4.704376441801983,-0.0035174130830992745,0.22706216706568294,7.550024852268685,-0.029735079718351543,0.23686736554132093
au10_or_l4_s127,5.919922192065612,0.04317671155070357,0.23446492125082563,9.039479125449624,-0.5541202613768421,0.26960532579635155,6.463812305015557,0.2942580869762699,0.227755954294262,4.07126750464816,0.0587067136360524,0.21862054579748147,5.919255113714675,0.06123301494457145,0.23448521913352827
au12_or_l4_s127,5.589001297365208,-0.06245054270809813,0.24147822474432423,8.570129394012618,-0.45717393125930883,0.26731354743248237,7.847215150303673,-0.005297729707190335,0.26362604461025485,2.7827215898598574,0.06144931740180937,0.22677209057315917,5.614894213193647,-0.054512020184404264,0.24107894117772943
au13_or_l4_s127,5.815281024797388,-0.012256599906199206,0.24224958265680652,8.170094314170889,-0.4627879054977786,0.2681861030980289,4.800572763735664,0.3152232104802062,0.2223207870091909,4.269621752426545,0.043041609936183,0.2322319432067822,5.209731056169671,0.022100332708306247,0.23805919050532665
au14_or_l4_s127,5.677418906339142,-0.014465530285299177,0.2403151701470463,8.503698581150228,-0.36628052502227515,0.2665100742418771,6.160356119597994,0.32614024011583886,0.22755285373158363,3.528870576509771,0.09050271964378176,0.2246584305901529,5.823359156285457,-0.014805925028336553,0.2407567457217359
au15_or_l4_s127,5.0476147996802965,-0.15082674474931812,0.2503067136809405,7.980665724703967,-0.6458909236271477,0.26935593352707876,7.216298620430651,-0.2230654264091223,0.26450766522900304,2.780340596253687,-0.008783105353804554,0.2386912468439374,5.047820511561266,-0.14845542262832723,0.2516852373442866
au16_or_l4_s127,6.820345280716859,-0.13356318227829256,0.2566642111853099,9.81005911956119,-0.7125165275649792,0.2811814693734611,10.512484153779516,-0.3023823279319542,0.28126020785567984,4.972998446627495,-0.02914201206121181,0.24465407194956112,7.807992583440351,-0.20952148336306564,0.2657892308571965
au17_or_l4_s127,7.979468755961217,0.06371331717338968,0.23076533509687447,10.443591864591587,-0.5083449493882433,0.2822111663817519,7.9299872786974035,0.29499772412232605,0.22299398727964426,7.120634077113882,0.025184154046809848,0.22152490999996144,8.090193605553736,0.04439449686366359,0.23532703816749567
au18_or_l4_s127,7.234504674781484,0.03044499945185075,0.23431697823911635,10.910096087815205,-0.7247314309546828,0.2901117535339168,8.53576995078048,0.27309865606417016,0.23365652106585721,5.234047117764975,0.049859052030756246,0.21900221995263736,7.8334776125425005,0.0011783451327458394,0.2433559523826877
au20_or_l4_s127,6.896404785337584,-0.15008023898850587,0.24944910387288266,6.823469992867674,-0.40674390296518315,0.257885784780576,9.085642627538975,-0.011226840397899451,0.2542436167651285,5.168689299971675,-0.10404377626470751,0.2378003972429954,6.887450151822532,-0.16037118686194685,0.25072652322498223
au21_or_l4_s127,6.164636227590458,-0.04172258045344801,0.24994503840741888,8.509216413427144,-0.5168037018928304,0.27276352888415234,7.882125506275183,-0.036072216220330855,0.2635481789523285,4.608227894386449,0.08271658310592667,0.22942373968056562,6.177097085886464,-0.04562235767635858,0.2507779403520085
au22_or_l4_s127,7.503673154793072,0.03903704252488538,0.2349514673248273,10.130346841198502,-0.6034872961240758,0.2838453583573599,7.7070090861780125,0.2339069549277757,0.23088533923104027,5.564450243682163,0.04978058801998353,0.21205552982912979,7.547165739899368,0.031249863306816117,0.23899249785063925
au23_or_l4_s127,6.990722493988921,0.0032250967487379434,0.23642316751023296,10.182426979129577,-0.6239493938499727,0.2826168242468563,8.82007003857342,0.19716913977855022,0.24076437120417493,4.991177491194744,0.04573460118150052,0.22501812010358235,7.424662295217062,-0.003682501334037802,0.2393486741336298
au24_or_l4_s127,7.842867512459149,-0.12459867425587934,0.25889569702719983,10.27966682077208,-0.6253527294435264,0.28716454232712874,9.008021900641634,0.07194757695901455,0.26974543950581764,5.329217792205094,-0.049795258191402514,0.24331576146616363,7.810139241643091,-0.1563026390488571,0.2604243791667369
au25_or_l4_s127,7.156095975937287,-0.12320288986501904,0.2502541483256513,10.406014286607405,-0.794789308202942,0.27341658815798553,10.82276317944022,-0.3082052997466649,0.28257429597021877,6.162403512366736,-0.055580826090304125,0.24353517740803643,7.363734128102542,-0.12584918533061895,0.2512323634167397
au26_or_l4_s127,6.388202674380361,0.07879134730501791,0.23283592299437295,10.1623269966349,-0.5029643990941746,0.2879775258495655,6.745858665245732,0.3775398789727067,0.21412433676682485,4.839691367512376,0.09278587573046959,0.22681194160189921,5.9838449726117,0.1425103437015638,0.22627339718774808
au27_or_l4_s127,6.670131589678173,-0.025452384010559825,0.2389348598859884,9.895301047085978,-0.6066654383825281,0.2919270344823204,9.220893617037449,0.03944770329732883,0.27683733029758084,4.333485683788197,0.07928776344588417,0.22241838682877968,6.981353880695422,-0.022621651655499342,0.23934546490346387
